accession_number,cik,ticker,company_name,form_type,filing_date,document_url,mdna_text,risk_factors_text,ingested_at
0000320193-25-000099,0000320193,AAPL,Apple Inc.,10-K,2025-11-01,https://www.sec.gov/Archives/aapl-10k.htm,"Net sales increased 6 percent driven by services growth. Gross margin expanded despite supply chain cost pressure. We expect continued uncertain demand in greater China.","The Company faces intense competition and litigation risk. Global macroeconomic conditions could cause a decline in consumer demand and impairment of long lived assets.",2025-11-01 12:00:00
0000320193-25-000099,0000320193,AAPL,Apple Inc.,10-K,2025-11-01,https://www.sec.gov/Archives/aapl-10k.htm,"Net sales increased 6 percent driven by services growth. Gross margin expanded despite supply chain cost pressure. We expect continued uncertain demand in greater China.","The Company faces intense competition and litigation risk. Global macroeconomic conditions could cause a decline in consumer demand and impairment of long lived assets.",2025-11-01 12:30:00
0000320193-26-000010,0000320193,AAPL,Apple Inc.,10-Q,2026-05-01,https://www.sec.gov/Archives/aapl-10q.htm,"Quarterly revenue declined seasonally as expected. Services set a new record while product mix shifted. Operating expenses remain disciplined.","Risks remain substantially consistent with the annual report including supply concentration and regulatory uncertainty in app store litigation.",2026-05-01 12:00:00
0000789019-25-000088,0000789019,MSFT,Microsoft Corp,10-K,2025-07-30,https://www.sec.gov/Archives/msft-10k.htm,"Cloud revenue grew 21 percent on AI services adoption. Capital expenditure increased materially to expand data center capacity. Margins remain strong.","Cybersecurity threats and uncertain AI regulation could adversely affect results. Competition for AI talent may increase operating costs.",2025-07-30 12:00:00
0000789019-26-000012,0000789019,MSFT,Microsoft Corp,10-Q,2026-04-25,https://www.sec.gov/Archives/msft-10q.htm,"Azure growth accelerated and commercial bookings increased. AI capacity remains constrained relative to demand.","No material changes to risk factors. Litigation exposure related to platform competition continues.",2026-04-25 12:00:00
0001045810-26-000020,0001045810,NVDA,NVIDIA Corp,10-K,2026-02-26,https://www.sec.gov/Archives/nvda-10k.htm,"Record data center revenue driven by accelerated computing demand. Supply commitments increased substantially. Gross margin reached a record level.","Export control restrictions create uncertain demand in certain regions. Customer concentration could cause revenue decline if ordering patterns change.",2026-02-26 12:00:00
0001045810-26-000031,0001045810,NVDA,NVIDIA Corp,8-K,2026-05-28,https://www.sec.gov/Archives/nvda-8k.htm,"Announced first quarter results and updated full year outlook above prior guidance.","Not applicable for this report.",2026-05-28 12:00:00
0000019617-26-000005,0000019617,JPM,JPMorgan Chase & Co,10-K,2026-02-20,https://www.sec.gov/Archives/jpm-10k.htm,"Net interest income benefited from higher rates. Credit costs normalized with reserve builds in card. Investment banking fees recovered strongly.","Credit losses could increase materially in a recession. Regulatory capital requirements remain uncertain pending final rules. Litigation reserves may prove inadequate.",2026-02-20 12:00:00
0000019617-26-000018,0000019617,JPM,JPMorgan Chase & Co,8-K,2026-04-11,https://www.sec.gov/Archives/jpm-8k.htm,"First quarter earnings release furnished including record revenue.","Not applicable for this report.",2026-04-11 12:00:00
0000034088-26-000007,0000034088,XOM,Exxon Mobil Corp,10-K,2026-02-25,https://www.sec.gov/Archives/xom-10k.htm,"Upstream earnings declined on lower crude realizations partially offset by record production. Structural cost savings reached the announced target.","Commodity price decline could cause impairment of upstream assets. Climate litigation and uncertain energy transition policy may affect long term demand.",2026-02-25 12:00:00
0000034088-26-000015,0000034088,XOM,Exxon Mobil Corp,DEF 14A,2026-04-03,https://www.sec.gov/Archives/xom-def14a.htm,"Proxy statement for the annual meeting of shareholders.","Not applicable for this report.",2026-04-03 12:00:00
